icd_10_code,diagnosis_name
S62649A,"Extirpation of Matter from Peritoneal Cavity, Open Approach"
S7012,"Transfer Right Ankle Bursa and Ligament, Percutaneous Endoscopic Approach"
S89031A,"Drainage of Right Foot Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach"
S20359S,"Insertion of Reservoir into Left Upper Leg Subcutaneous Tissue and Fascia, Open Approach"
T457X6S,Therapeutic Exercise Treatment of Respiratory System - Upper Back / Upper Extremity using Physical Agents
H44131,"Reposition Left Femoral Shaft with External Fixation Device, Percutaneous Endoscopic Approach"
S30852,"Removal of Nonautologous Tissue Substitute from Right Pelvic Bone, Percutaneous Approach"
X32XXXD,Magnetic Resonance Imaging (MRI) of Bilateral Vertebral Arteries
T63072D,"Insertion of Other Device into Left Upper Leg, Percutaneous Endoscopic Approach"
S82233D,"Transplantation of Eye into Products of Conception, Via Natural or Artificial Opening"
S66324,"Drainage of Right Retina with Drainage Device, Percutaneous Approach"
M5400,"Excision of Larynx, Percutaneous Approach"
S8690,"Extirpation of Matter from Right Lower Leg Subcutaneous Tissue and Fascia, Percutaneous Approach"
S82253J,"Repair Jejunum, Via Natural or Artificial Opening"
L0304,"Repair Right Lower Lung Lobe, Open Approach"
S32442D,"Dilation of Hemiazygos Vein with Intraluminal Device, Percutaneous Endoscopic Approach"
R1033,"Insertion of Neurostimulator Lead into Cerebral Ventricle, Open Approach"
S49092S,"Restriction of Common Bile Duct, Percutaneous Endoscopic Approach"
S92011D,"Repair Trachea, Via Natural or Artificial Opening"
M6023,"Restriction of Right Middle Lobe Bronchus, Open Approach"
V9629XD,"Drainage of Right Lacrimal Duct, Open Approach"
S12490A,"Fragmentation in Accessory Pancreatic Duct, Percutaneous Approach"
C4472,"Revision of Synthetic Substitute in Left Acromioclavicular Joint, Percutaneous Approach"
H61199,"Repair Left Hand Subcutaneous Tissue and Fascia, Percutaneous Approach"
S21111D,"Restriction of Bladder Neck with Intraluminal Device, Percutaneous Endoscopic Approach"
S21252S,Plain Radiography of Cerebral and Cerebellar Veins using Low Osmolar Contrast
M93952,"Drainage of Right Foot Subcutaneous Tissue and Fascia, Open Approach, Diagnostic"
H3002,"Robotic Assisted Procedure of Head and Neck Region, Percutaneous Approach"
S66315D,"Supplement of Left Upper Leg Subcutaneous Tissue and Fascia with Synthetic Substitute, Percutaneous Approach"
S72301E,"Extirpation of Matter from Left Trunk Bursa and Ligament, Open Approach"
S14102S,"Revision of Intraluminal Device in Lymphatic, Percutaneous Endoscopic Approach"
T85622S,"Reposition Lumbosacral Joint, Percutaneous Approach"
T2027XA,"Extirpation of Matter from Left Lower Extremity Lymphatic, Percutaneous Approach"
S8253XC,"Bypass Thoracic Aorta, Descending to Subclavian with Autologous Venous Tissue, Percutaneous Endoscopic Approach"
S76912D,"Supplement Sciatic Nerve with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
S42002G,"Dilation of Stomach, Via Natural or Artificial Opening Endoscopic"
T82514,"Removal of Nonautologous Tissue Substitute from Left Toe Phalangeal Joint, Open Approach"
S82264R,"Excision of Left Pulmonary Artery, Percutaneous Endoscopic Approach, Diagnostic"
M1A3321,"Supplement Left Sternoclavicular Joint with Synthetic Substitute, Percutaneous Endoscopic Approach"
S52341F,"Transfusion of Nonautologous Globulin into Peripheral Artery, Percutaneous Approach"
H348130,"Repair Lumbosacral Disc, Open Approach"
S52572A,Removal of Pressure Dressing on Right Inguinal Region
T704XXA,"Dilation of Lower Artery with Three Drug-eluting Intraluminal Devices, Open Approach"
E8842,"Release Aortic Valve, Percutaneous Endoscopic Approach"
I83202,Plain Radiography of Left Temporomandibular Joint using Low Osmolar Contrast
G902,"Bypass Right Radial Artery to Lower Arm Vein with Synthetic Substitute, Open Approach"
S22051A,"Resection of Chordae Tendineae, Percutaneous Approach"
S80912D,"Fusion of Occipital-cervical Joint, Posterior Approach, Anterior Column, Percutaneous Endoscopic Approach"
L02226,"Creation of Mitral Valve from Common Atrioventricular Valve using Autologous Tissue Substitute, Open Approach"
T372X5,"Revision of Bone Growth Stimulator in Nasal Bone, External Approach"
S62233D,"Reposition Left Lower Femur, Open Approach"
T2513,"Supplement Left Occipital Bone with Synthetic Substitute, Percutaneous Endoscopic Approach"
N135,"Removal of Other Device from Right Pleural Cavity, Percutaneous Approach"
H53489,"Removal of Radioactive Element from Right Eye, External Approach"
S20161D,"Release Right Patella, Percutaneous Endoscopic Approach"
S60942A,"Bypass Duodenum to Duodenum, Open Approach"
M1A3310,"Excision of Pituitary Gland, Percutaneous Endoscopic Approach"
T63422,"Excision of Right Wrist Joint, Percutaneous Approach, Diagnostic"
W5389XD,"Transfer Left Lower Arm and Wrist Tendon, Percutaneous Endoscopic Approach"
H05119,"Bypass Common Bile Duct to Cystic Duct with Intraluminal Device, Percutaneous Endoscopic Approach"
H5901,"Supplement Middle Esophagus with Synthetic Substitute, Via Natural or Artificial Opening"
E133212,"Release Rectum, Open Approach"
M4005,"Bypass Left Kidney Pelvis to Left Ureter, Open Approach"
M4322,"Restriction of Abdominal Aorta with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Open Approach"
S82154,"Supplement Ileocecal Valve with Synthetic Substitute, Open Approach"
S79139K,"Destruction of Right Posterior Tibial Artery, Percutaneous Endoscopic Approach"
S63233S,"Removal of Synthetic Substitute from Prostate and Seminal Vesicles, Via Natural or Artificial Opening"
S91319A,"Dilation of Right Renal Artery, Percutaneous Endoscopic Approach"
F319,Change Pressure Dressing on Right Lower Extremity
S82141S,"Occlusion of Lower Vein, Percutaneous Approach"
M753,"Introduction of Nutritional Substance into Genitourinary Tract, Via Natural or Artificial Opening Endoscopic"
S72026E,"Reattachment of Left Lobe Liver, Open Approach"
S30842D,"Supplement Pharynx with Synthetic Substitute, Open Approach"
S92142K,Low Dose Rate (LDR) Brachytherapy of Larynx using Iridium 192 (Ir-192)
I69942,"Dilation of Abdominal Aorta, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach"
S8621,"Bypass Left External Iliac Artery to Left Internal Iliac Artery with Synthetic Substitute, Percutaneous Endoscopic Approach"
T23092D,"Revision of External Fixation Device in Right Hip Joint, External Approach"
S61339A,"Fluoroscopy of Bilateral Renal Arteries using Other Contrast, Laser Intraoperative"
T1752,"Fluoroscopy of Left Internal Carotid Artery using Other Contrast, Laser Intraoperative"
S82264S,"Bypass Gallbladder to Common Bile Duct with Intraluminal Device, Open Approach"
T6292,"Reposition Right Carpal with Internal Fixation Device, Percutaneous Approach"
M224,"Dilation of Right External Iliac Artery with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach"
N5203,"Introduction of Other Gas into Respiratory Tract, Via Natural or Artificial Opening Endoscopic"
S42362K,Change Pressure Dressing on Left Finger
S61320S,"Release Vestibular Gland, Open Approach"
G4311,"Drainage of Glossopharyngeal Nerve with Drainage Device, Percutaneous Approach"
S72002B,"Transfer Left Upper Leg Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Open Approach"
S3500XD,"Supplement Cystic Duct with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
Q5181,"Bypass Left Common Iliac Vein to Lower Vein with Autologous Tissue Substitute, Open Approach"
S471XXA,"Transplantation of Heart, Syngeneic, Open Approach"
T2621,"Drainage of Left Metacarpophalangeal Joint with Drainage Device, Percutaneous Approach"
D609,"Drainage of Bilateral Adrenal Glands, Percutaneous Approach, Diagnostic"
S31521,"Removal of Infusion Device from Right Metacarpocarpal Joint, Percutaneous Endoscopic Approach"
H31121,"Destruction of Left Hand Skin, External Approach"
S31140S,Planar Nuclear Medicine Imaging of Right Upper Extremity Veins using Other Radionuclide
S42202S,"Fluoroscopy of Bilateral Renal Veins using Low Osmolar Contrast, Guidance"
V9304XS,"Drainage of Azygos Vein, Percutaneous Endoscopic Approach, Diagnostic"
T22699D,"Alteration of Chest Wall with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
S0211CA,"Removal of Drainage Device from Left Ear, Percutaneous Approach"
S199,"Dilation of Left Anterior Tibial Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach"
V547,"Restriction of Right Cephalic Vein with Extraluminal Device, Percutaneous Endoscopic Approach"
T24302S,"Revision of Monitoring Device in Spinal Cord, Percutaneous Endoscopic Approach"
S06310D,"Revision of Nonautologous Tissue Substitute in Cervicothoracic Vertebral Joint, Open Approach"
S30875S,"Supplement Left Zygomatic Bone with Synthetic Substitute, Open Approach"
S41042,Therapeutic Exercise Treatment of Neurological System - Head and Neck
S82134G,"Removal of Drainage Device from Lower Tendon, Percutaneous Endoscopic Approach"
S4432XD,"Restriction of Left Femoral Vein with Extraluminal Device, Percutaneous Endoscopic Approach"
S6365,"Introduction of Other Diagnostic Substance into Joints, Percutaneous Approach"
C710,"Supplement Right Kidney Pelvis with Nonautologous Tissue Substitute, Via Natural or Artificial Opening"
H60513,"Replacement of Left Lens with Synthetic Substitute, Percutaneous Approach"
T63084D,"Bypass Pulmonary Trunk from Subclavian with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
S12600D,"Excision of Left Tunica Vaginalis, Open Approach"
M86012,"Insertion of External Fixation Device into Right Tarsal, Open Approach"
S82016P,"Extraction of Right Upper Arm Skin, External Approach"
T84613S,"Transfer Right Hand Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Open Approach"
V4344XA,"Supplement Left Breast with Nonautologous Tissue Substitute, Percutaneous Approach"
S53196,"Inspection of Urethra, Via Natural or Artificial Opening Endoscopic"
S55819D,"Reposition Ileum, External Approach"
H738,"Bypass Cerebral Ventricle to Pleural Cavity with Nonautologous Tissue Substitute, Open Approach"
S66516A,"Revision of External Fixation Device in Right Metatarsal-Tarsal Joint, Percutaneous Approach"
S83003S,"Dilation of Left Pulmonary Artery with Intraluminal Device, Percutaneous Approach"
S279,"Drainage of Pituitary Gland with Drainage Device, Open Approach"
W5642XA,"Insertion of Monitoring Device into Left Diaphragm, Open Approach"
Y35003D,Oral Peripheral Mechanism Assessment using Other Equipment
M05771,"Drainage of Vagus Nerve, Percutaneous Approach"
H59112,Hyperthermia of Pituitary Gland
S53491,"Excision of Right Hand Subcutaneous Tissue and Fascia, Open Approach"
M84352,"Drainage of Aortic Body with Drainage Device, Percutaneous Approach"
T749,"Revision of Autologous Tissue Substitute in Left Shoulder Joint, Percutaneous Approach"
M11141,"Insertion of Intraluminal Device into Left Renal Vein, Open Approach"
S12201A,"Repair Pudendal Nerve, Percutaneous Endoscopic Approach"
S71121S,"Excision of Thoracic Spinal Cord, Open Approach"
B9721,Computerized Tomography (CT Scan) of Right Kidney using Other Contrast
S63211D,Immobilization of Left Inguinal Region using Other Device
D434,"Revision of Drainage Device in Right Metatarsal-Tarsal Joint, Percutaneous Approach"
T522X3,"Removal of Internal Fixation Device from Left Carpal, External Approach"
T84039,"Division of Right Thorax Bursa and Ligament, Percutaneous Approach"
X398XXS,"Release Right Ulna, Percutaneous Endoscopic Approach"
S6021,"Removal of Infusion Device from Retroperitoneum, Percutaneous Approach"
E1141,"Repair Head, Open Approach"
V887XXS,"Occlusion of Right Parotid Duct with Intraluminal Device, Via Natural or Artificial Opening"
S0922XD,"Extirpation of Matter from Right Clavicle, Open Approach"
S60415A,"Excision of Para-aortic Body, Open Approach"
Q518,"Replacement of Abdomen Subcutaneous Tissue and Fascia with Autologous Tissue Substitute, Percutaneous Approach"
S79109P,"Resection of Right Hand Muscle, Percutaneous Endoscopic Approach"
B082,"Drainage of Left Elbow Joint with Drainage Device, Percutaneous Approach"
T22431D,"Insertion of Infusion Device into Lumbar Vertebral Disc, Open Approach"
S55119,"Drainage of Lower Lip with Drainage Device, Percutaneous Approach"
M90872,"Transfusion of Autologous White Cells into Central Vein, Percutaneous Approach"
S4290,"Replacement of Left Vocal Cord with Synthetic Substitute, Via Natural or Artificial Opening"
S36521A,"Female Reproductive System, Revision"
V726XXS,"Assistance with Respiratory Ventilation, Less than 24 Consecutive Hours, Continuous Positive Airway Pressure"
S83419A,"Drainage of Left Eustachian Tube, Percutaneous Endoscopic Approach, Diagnostic"
X950,"Transfer Back Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Open Approach"
M25242,"Insertion of External Fixation Device into Right Ankle Joint, Open Approach"
V8611XS,"Drainage of Lumbosacral Plexus, Percutaneous Approach"
S92812,"Supplement Right Hip Joint with Nonautologous Tissue Substitute, Percutaneous Approach"
M6023,"Bypass Left Fallopian Tube to Right Fallopian Tube, Percutaneous Endoscopic Approach"
T48903D,Change Cast on Right Upper Extremity
H333,"Extirpation of Matter from Left Colic Artery, Bifurcation, Percutaneous Approach"
F518,"Release Left Sternoclavicular Joint, Percutaneous Endoscopic Approach"
H669,"Drainage of Right Lower Leg Tendon with Drainage Device, Percutaneous Endoscopic Approach"
T566X3A,"Introduction of High-dose Interleukin-2 into Spinal Canal, Percutaneous Approach"
S52361M,"Dilation of Left Pulmonary Vein with Intraluminal Device, Percutaneous Endoscopic Approach"
S42363G,"Alteration of Right Ankle Region with Synthetic Substitute, Open Approach"
M932,"Repair Right Hypogastric Vein, Open Approach"
S36241,"Supplement Lumbar Vertebral Disc with Nonautologous Tissue Substitute, Open Approach"
P233,"Drainage of Ulnar Nerve with Drainage Device, Percutaneous Endoscopic Approach"
W21211A,Stereotactic Particulate Radiosurgery of Abdomen
H05422,"Release Bilateral Carotid Bodies, Open Approach"
S52312K,"Reposition Left Hand Tendon, Percutaneous Endoscopic Approach"
T63711D,"New Technology, Cardiovascular System, Extirpation"
Y92253,"Transplantation of Right Hand, Allogeneic, Open Approach"
T458X2,"Drainage of Right Basilic Vein with Drainage Device, Open Approach"
H05342,"Removal of Monitoring Device from Liver, Percutaneous Endoscopic Approach"
S76891A,"Reposition Right Upper Femur with Intramedullary Internal Fixation Device, Open Approach"
O352XX2,"Revision of Infusion Device in Face, Percutaneous Approach"
S50902S,Removal of Intermittent Pressure Device on Right Upper Arm
T433X2D,"Excision of Bladder Neck, Percutaneous Approach, Diagnostic"
K5141,"Revision of Nonautologous Tissue Substitute in Left Breast, Open Approach"
M05639,"Transfusion of Nonautologous Frozen Red Cells into Peripheral Vein, Percutaneous Approach"
T65892D,"Division of Left Upper Leg Muscle, Percutaneous Endoscopic Approach"
S52134K,"Repair Right Hepatic Duct, Via Natural or Artificial Opening"
S32311A,"Supplement Right Metatarsal-Phalangeal Joint with Synthetic Substitute, Percutaneous Approach"
V9384XS,"Dilation of Right Internal Iliac Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach"
S72441H,"Restriction of Superior Mesenteric Artery, Open Approach"
S83222S,"Supplement Left Thumb with Autologous Tissue Substitute, Open Approach"
S06307D,"Supplement Ventricular Septum with Nonautologous Tissue Substitute, Open Approach"
S85212A,"Supplement Right Inguinal Lymphatic with Nonautologous Tissue Substitute, Open Approach"
T23152A,"Division of Coccyx, Open Approach"
S92231B,Osteopathic Treatment of Sacrum using Lymphatic Pump
R846,"Destruction of Left Foot Bursa and Ligament, Percutaneous Approach"
Z129,"Removal of Internal Fixation Device from Coccygeal Joint, Open Approach"
S904,"Bypass Left External Iliac Artery to Left External Iliac Artery with Nonautologous Tissue Substitute, Open Approach"
S72302K,"Drainage of Tongue, Palate, Pharynx Muscle with Drainage Device, Percutaneous Endoscopic Approach"
E32,"Occlusion of Right Lower Lobe Bronchus with Intraluminal Device, Percutaneous Endoscopic Approach"
V3920XS,"Extirpation of Matter from Left External Carotid Artery, Percutaneous Endoscopic Approach"
S60351S,"Excision of Sacrum, Percutaneous Endoscopic Approach, Diagnostic"
S02622A,"Reposition Left Toe Phalanx with External Fixation Device, Percutaneous Endoscopic Approach"
A5217,"Dilation of Hepatic Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach"
M84459P,"Resection of Left Vitreous, Percutaneous Approach"
S52366K,"Revision of Drainage Device in Upper Back, Percutaneous Approach"
S61121D,"Revision of Infusion Device in Tracheobronchial Tree, Via Natural or Artificial Opening Endoscopic"
S12251S,"Reposition Nasal Turbinate, Open Approach"
P080,"Removal of Synthetic Substitute from Vagina and Cul-de-sac, Via Natural or Artificial Opening Endoscopic"
T2652XD,"Removal of Infusion Device from Lymphatic, External Approach"
M9081,"Repair Gastric Artery, Percutaneous Endoscopic Approach"
S42464B,"Supplement Right Wrist Joint with Autologous Tissue Substitute, Percutaneous Approach"
S5010,"Inspection of Sacrococcygeal Joint, Percutaneous Approach"
V00138D,"Supplement Right Finger Phalangeal Joint with Autologous Tissue Substitute, Percutaneous Approach"
S60418S,"Revision of Drainage Device in Left Acromioclavicular Joint, Open Approach"
S66515,"Replacement of Abdomen Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
S68616A,"Bypass Left External Iliac Artery to Lower Extremity Artery with Synthetic Substitute, Open Approach"
S8229,"Division of Right Upper Arm Subcutaneous Tissue and Fascia, Percutaneous Approach"
M05042,"Repair Left Common Carotid Artery, Percutaneous Endoscopic Approach"
T82533A,"Destruction of Left Superior Parathyroid Gland, Percutaneous Endoscopic Approach"
E308,"Removal of Synthetic Substitute from Pancreatic Duct, Open Approach"
T422X,"Bypass Left Common Iliac Artery to Left Common Iliac Artery with Synthetic Substitute, Open Approach"
O899,"Bypass Abdominal Aorta to Lower Artery with Nonautologous Tissue Substitute, Open Approach"
V799XXS,Fluoroscopy of Left Foot/Toe Joint using High Osmolar Contrast
S40851A,"Insertion of Intraluminal Device into Right Pulmonary Vein, Open Approach"
S62253G,"Removal of Internal Fixation Device from Right Patella, Percutaneous Endoscopic Approach"
T46906S,"Insertion of Pacemaker Lead into Pericardium, Open Approach"
T572,"Bypass Right Face Vein to Upper Vein with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
